product_id,name,brand,source,category,unit_size,week_date,price,regular_price,is_on_special
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-07-01,0.88,0.96,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-07-08,1.09,0.96,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-07-15,1.0,0.96,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-07-22,0.75,0.95,1
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-07-29,1.0,0.94,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-08-05,0.79,0.93,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-08-12,0.99,0.92,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-08-19,0.8,0.9,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-08-26,0.86,0.89,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-09-02,0.87,0.87,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-09-09,0.88,0.85,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-09-16,0.84,0.82,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-09-23,0.58,0.8,1
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-09-30,0.5,0.78,1
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-10-07,0.81,0.76,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-10-14,0.73,0.73,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-10-21,0.71,0.71,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-10-28,0.66,0.69,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-11-04,0.7,0.67,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-11-11,0.66,0.65,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-11-18,0.64,0.64,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-11-25,0.66,0.62,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-12-02,0.54,0.61,1
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-12-09,0.58,0.6,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-12-16,0.65,0.6,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-12-23,0.59,0.59,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2025-12-30,0.55,0.59,0
ww_651492,Mandarin Tangold Seedless,Mandarin,woolworths,Fruit & Veg,each,2026-01-06,0.62,0.59,0
